Version	ATC-Code	ATC-Bedeutung	DDD-Info
2025	A      	ALIMENTÄRES SYSTEM UND STOFFWECHSEL	
2025	A01    	STOMATOLOGIKA	
2025	A01A   	STOMATOLOGIKA	
2025	A01AA  	Mittel zur Kariesprophylaxe	
2025	A01AA01	Natriumfluorid	1,1 mg O (0,5 mg Fluorid)
2025	A01AA02	Natriummonofluorphosphat	
2025	A01AA03	Olaflur	1,1 mg O
2025	A01AA04	Zinn(II)-fluorid	
2025	A01AA05	Fluorsilan	
2025	A01AA30	Kombinationen	
2025	A01AA51	Natriumfluorid, Kombinationen	
2025	A01AB  	Antiinfektiva und Antiseptika zur oralen Lokalbehandlung	
2025	A01AB02	Wasserstoffperoxid	60 mg O
2025	A01AB03	Chlorhexidin	30 mg O
2025	A01AB04	Amphotericin B	40 mg O
2025	A01AB05	Polynoxylin	0,18 g O
2025	A01AB06	Domiphen	3 mg O
2025	A01AB07	Oxychinolin	80 mg O
2025	A01AB08	Neomycin	
2025	A01AB09	Miconazol	0,2 g O
2025	A01AB10	Natamycin	20 mg O
2025	A01AB11	Verschiedene	
2025	A01AB12	Hexetidin	
2025	A01AB13	Tetracyclin	
2025	A01AB14	Benzoxoniumchlorid	
2025	A01AB15	Tibezoniumiodid	
2025	A01AB16	Mepartricin	
2025	A01AB17	Metronidazol	
2025	A01AB18	Clotrimazol	
2025	A01AB19	Natriumperborat	
2025	A01AB21	Chlortetracyclin	
2025	A01AB22	Doxycyclin	
2025	A01AB23	Minocyclin	1 mg O
2025	A01AB24	Octenidin	
2025	A01AB25	Oxytetracyclin	
2025	A01AB26	Aluminiumchlorid	
2025	A01AB27	Ethacridinlactat	
2025	A01AB29	Eugenol	
2025	A01AB31	Natriumhypochlorit	
2025	A01AB32	Natriumpercarbonat	
2025	A01AB33	Nystatin	500 TSD E O 
2025	A01AB36	Aluminiumchlorat	
2025	A01AB37	Aluminiumsulfat	
2025	A01AB39	Andere Aluminium-haltige Verbindungen	
2025	A01AB42	Thymol	
2025	A01AB50	Kombinationen	
2025	A01AB53	Chlorhexidin und Cetylpyridinium	
2025	A01AB57	Oxychinolin, Kombinationen	
2025	A01AB62	Hexetidin, Kombinationen	
2025	A01AB76	Aluminiumchlorid, Kombinationen	
2025	A01AB78	Sulfanilamid, Kombinationen	
2025	A01AB84	Paraformaldehyd, Kombinationen	
2025	A01AB85	Formaldehyd, Kombinationen	
2025	A01AB88	Azulen, Kombinationen	
2025	A01AB90	Demeclocyclin, Kombinationen	
2025	A01AB91	Chlorphenol, Kombinationen	
2025	A01AC  	Corticosteroide zur oralen Lokalbehandlung	
2025	A01AC01	Triamcinolon	
2025	A01AC02	Dexamethason	
2025	A01AC03	Hydrocortison	
2025	A01AC04	Prednisolon	
2025	A01AC05	Betamethason	
2025	A01AC54	Prednisolon, Kombinationen	
2025	A01AD  	Andere Mittel zur oralen Lokalbehandlung	
2025	A01AD01	Epinephrin	
2025	A01AD02	Benzydamin	
2025	A01AD05	Acetylsalicylsäure	
2025	A01AD06	Adrenalon	
2025	A01AD07	Amlexanox	
2025	A01AD08	Becaplermin	
2025	A01AD11	Verschiedene	
2025	A01AD18	Cholinsalicylat	
2025	A01AD20	Carbenoxolon	
